Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-07-14,2014,7,14,Monday,28,2014-28,77.13,77.25,76.48,76.55,4822900.0,66.15,-0.0035146660262821428,75.99428571428571,76.57040000000002
2014-07-15,2014,7,15,Tuesday,28,2014-28,76.56,76.93,76.56,76.84,4656900.0,66.4,0.003788285755347953,76.05642857142855,76.52480000000003
2014-07-16,2014,7,16,Wednesday,28,2014-28,76.9,77.05,76.7,76.86,3724200.0,66.42,0.0002603367180415983,76.14499999999998,76.48960000000004
2014-07-17,2014,7,17,Thursday,28,2014-28,76.58,77.05,76.44,76.61,4630300.0,66.2,-0.0032526671612637115,76.26642857142853,76.46160000000003
2014-07-18,2014,7,18,Friday,28,2014-28,76.62,77.1,76.51,77.09,4913300.0,66.62,0.006265444768501993,76.39142857142853,76.44420000000004
2014-07-21,2014,7,21,Monday,29,2014-29,76.76,76.91,76.48,76.77,3457600.0,66.34,-0.004150988585102988,76.51285714285711,76.40580000000004
2014-07-22,2014,7,22,Tuesday,29,2014-29,76.84,76.89,76.4,76.64,4383200.0,66.23,-0.0016933341031962756,76.60999999999999,76.35460000000003
2014-07-23,2014,7,23,Wednesday,29,2014-29,76.63,77.06,76.59,76.99,3994300.0,66.53,0.004566785972187404,76.70785714285714,76.31140000000003
2014-07-24,2014,7,24,Thursday,29,2014-29,76.68,76.79,76.19,76.35,7228300.0,65.98,-0.008312760194913782,76.75071428571427,76.25560000000003
2014-07-25,2014,7,25,Friday,29,2014-29,76.19,76.36,75.8,75.97,3948400.0,65.65,-0.004977043366238831,76.74357142857141,76.20020000000004
2014-07-28,2014,7,28,Monday,30,2014-30,75.43,75.93,75.36,75.71,5509900.0,65.42,-0.003422431644763635,76.67642857142856,76.17780000000003
2014-07-29,2014,7,29,Tuesday,30,2014-30,75.21,76.01,75.15,75.44,6293500.0,65.19,-0.0035661953022236847,76.54999999999998,76.14640000000003
2014-07-30,2014,7,30,Wednesday,30,2014-30,75.88,75.92,74.67,74.78,9977200.0,64.62,-0.008748722703475487,76.38714285714285,76.10980000000004
2014-07-31,2014,7,31,Thursday,30,2014-30,73.99,74.25,73.54,73.58,9631600.0,63.58,-0.016047030861605305,76.15571428571427,76.06760000000003
2014-08-01,2014,8,1,Friday,30,2014-30,73.32,73.88,73.22,73.54,8223900.0,63.55,-0.0005436384144048567,75.94071428571428,76.02520000000003
